[2025-05-17 21:41:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'premium_subscription_count': 0, 'presences': [], 'nsfw': False, 'explicit_content_filter': 0, 'guild_scheduled_events': [], 'latest_onboarding_question_id': None, 'embedded_activities': [], 'profile': None, 'soundboard_sounds': [], 'owner_id': '864532287004868609', 'roles': [{'version': 1747494911015, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1373317935900262411', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1747494984134, 'unicode_emoji': None, 'tags': {'bot_id': '1373315699862409308'}, 'position': 1, 'permissions': '563276639759424', 'name': 'Hero_Bot', 'mentionable': False, 'managed': True, 'id': '1373318242684113001', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'default_message_notifications': 0, 'premium_progress_bar_enabled': False, 'inventory_settings': None, 'emojis': [], 'application_command_counts': {}, 'home_header': None, 'splash': None, 'id': '1373317935900262411', 'name': 'We have a bot', 'activity_instances': [], 'unavailable': False, 'hub_type': None, 'preferred_locale': 'en-US', 'channels': [{'version': 1747494911018, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1373317935900262412', 'flags': 0}, {'version': 1747494911026, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1373317935900262413', 'flags': 0}, {'version': 1747494911039, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1373317935900262412', 'name': 'general', 'last_message_id': '1373318243523231864', 'id': '1373317935900262414', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1747494911051, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1373317935900262413', 'name': 'General', 'last_message_id': None, 'id': '1373317936374091986', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'members': [{'user': {'username': 'Hero_Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1373315699862409308', 'global_name': None, 'display_name': None, 'discriminator': '5750', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1373318242684113001'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-17T15:16:24.149540+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'threads': [], 'voice_states': [], 'safety_alerts_channel_id': None, 'moderator_reporting': None, 'vanity_url_code': None, 'description': None, 'region': 'deprecated', 'member_count': 2, 'system_channel_id': '1373317935900262414', 'premium_features': None, 'nsfw_level': 0, 'max_members': 500000, 'mfa_level': 0, 'large': False, 'verification_level': 0, 'joined_at': '2025-05-17T15:16:24.149540+00:00', 'afk_channel_id': None, 'incidents_data': None, 'stickers': [], 'discovery_splash': None, 'lazy': True, 'icon': None, 'max_stage_video_channel_users': 50, 'system_channel_flags': 0, 'afk_timeout': 300, 'features': [], 'public_updates_channel_id': None, 'stage_instances': [], 'premium_tier': 0, 'rules_channel_id': None, 'version': 1747494911057, 'max_video_channel_users': 25, 'application_id': None, 'banner': None}}
[2025-05-17 21:41:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-17 21:41:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '3b7c08ca6629645fe057e5cc49964a95', 'members': [{'user': {'username': 'lordpain9421', 'public_flags': 0, 'primary_guild': None, 'id': '864532287004868609', 'global_name': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'c01cd658ae45455bc9c8cc7d3157166b'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-17T15:15:10.960000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Hero_Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1373315699862409308', 'global_name': None, 'display_name': None, 'discriminator': '5750', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1373318242684113001'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-17T15:16:24.149540+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1373317935900262411', 'chunk_index': 0, 'chunk_count': 1}}
[2025-05-17 21:41:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-17 21:41:52] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1373317935900262411.
[2025-05-17 21:41:53] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-05-17 21:41:53] [DEBUG   ] discord.client: Dispatching event ready
[2025-05-17 21:42:32] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-17 21:42:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-17 21:43:13] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-17 21:43:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-17 21:43:55] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-17 21:43:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-17 21:44:36] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-17 21:44:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-17 21:45:17] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-17 21:45:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-17 21:45:58] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-17 21:45:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-17 21:46:40] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-17 21:46:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-17 21:47:21] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-17 21:47:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-17 21:48:02] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-17 21:48:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-17 21:48:43] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-17 21:48:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-17 21:49:25] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-17 21:49:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-17 21:48:30] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-17 21:48:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-17 21:49:11] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 3.
[2025-05-17 21:49:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
